id,bssid,ssid,capabilities,frequency
57,00:26:66:fb:48:c4,paradigm,[WPA-PSK-CCMP][WPS],2462
58,00:26:66:7e:9e:4a,jsh,[WPA-PSK-CCMP][WPS],2462
59,94:44:52:7d:00:1e,ECL,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2412
60,00:26:66:b8:60:ec,ihub,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS],2462
61,00:26:66:9d:d0:16,webst2,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS],2427
62,00:14:06:10:c1:f1,Welcome_KAIST,[WPA2-EAP-CCMP],2427
63,00:14:06:30:c1:f1,Welcome_KAIST,[WPA2-EAP-CCMP],2462
64,d8:c7:c8:df:19:60,Welcome_KAIST,[WPA2-EAP-CCMP],2437
65,d8:c7:c8:df:0a:20,Welcome_KAIST,[WPA2-EAP-CCMP],2437
66,d8:c7:c8:df:11:40,Welcome_KAIST,[WPA2-EAP-CCMP],2412
67,d8:c7:c8:df:1a:60,Welcome_KAIST,[WPA2-EAP-CCMP],2412
68,d8:c7:c8:df:11:c0,Welcome_KAIST,[WPA2-EAP-CCMP],2412
69,d8:c7:c8:df:13:00,Welcome_KAIST,[WPA2-EAP-CCMP],2437
70,02:29:b9:34:eb:33,HPJ310a.48D1EA,[IBSS],2437
71,2e:75:94:50:5d:7d,portthru,[IBSS],2457
72,d8:c7:c8:de:ff:40,Welcome_KAIST,[WPA2-EAP-CCMP],2462
73,00:08:9f:73:74:14,"i love cnl",[WEP],2412
74,00:08:9f:12:e6:ab,bluehope,[WPS],2412
75,00:08:9f:a9:94:04,wagland,[WEP],2437
76,d8:c7:c8:de:ff:20,Welcome_KAIST,[WPA2-EAP-CCMP],2437
77,3c:5a:37:00:d5:25,AndroidHotspot4496,[WPA2-PSK-CCMP],2412
78,00:18:f8:31:e8:96,WO3475SMU,[WPA-PSK-TKIP],2442
79,00:25:9c:6b:79:80,ChoFamily,[WPA-PSK-TKIP][WPS],2437
80,00:26:66:c7:c4:22,EXPLAB,[WPS][WEP],2457
81,d8:c7:c8:df:12:20,Welcome_KAIST,[WPA2-EAP-CCMP],2462
82,00:08:9f:16:b3:fb,iptime,[WPS],2462
83,d8:c7:c8:de:ff:00,Welcome_KAIST,[WPA2-EAP-CCMP],2412
84,00:4e:04:0d:13:30,N-KSE,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS],2457
85,00:08:9f:58:50:c4,jhub,[WPA-PSK-CCMP][WPS],2462
86,d8:c7:c8:df:12:e0,Welcome_KAIST,[WPA2-EAP-CCMP],2437
88,d8:c7:c8:df:14:40,Welcome_KAIST,[WPA2-EAP-CCMP],2462
89,00:08:9f:d9:e3:54,kecilab,[WPS][WEP],2437
90,00:26:66:51:b9:a4,"Yun's Lab",[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS],2452
91,00:26:66:54:87:e2,Coolwifi_Office,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS],2452
92,d8:c7:c8:df:01:40,Welcome_KAIST,[WPA2-EAP-CCMP],2437
93,00:26:0b:dc:54:df,Welcome_KAIST,[WPA2-EAP-CCMP-preauth][WPS],2417
94,00:08:9f:bf:63:ec,RAINBOW,[WPA-PSK-CCMP][WPA2-PSK-CCMP],2412
95,00:19:d6:10:c2:21,Welcome_KAIST,[WPA2-EAP-CCMP],2427
96,00:19:d6:30:c2:21,Welcome_KAIST,[WPA2-EAP-CCMP],2462
97,00:26:0b:dc:55:39,Welcome_KAIST,[WPA2-EAP-CCMP-preauth][WPS],2422
98,00:26:66:21:e0:ac,GSNT,[WPS][WEP],2462
99,00:26:66:08:a0:08,SHLEE,[WPA2-PSK-TKIP+CCMP],2452
100,00:08:9f:dd:16:ac,louhee,[WEP],2412
101,00:26:66:2d:2c:90,gdpl,[WPA-PSK-CCMP],2462
102,00:24:6c:77:13:20,Welcome_KAIST,[WPA2-EAP-CCMP],2412
103,00:25:9c:1a:41:fb,rhee,[WPS][WEP],2412
104,00:26:66:54:87:0a,NASA,[WPA-PSK-CCMP][WPA2-PSK-CCMP],2452
105,00:08:9f:50:6b:5f,HAN_WL,[WEP],2432
106,00:26:66:7a:2d:b4,SRTLAB,[WPA-PSK-CCMP][WPA2-PSK-CCMP],2422
107,00:26:66:27:f3:b2,nanolab,[WPA2-PSK-TKIP+CCMP][WPS],2462
108,00:08:9f:40:48:cd,CT-JN,,2472
109,d8:c7:c8:de:fe:a0,Welcome_KAIST,[WPA2-EAP-CCMP],2437
110,00:08:9f:66:a0:b8,iptime,,2462
111,00:26:66:d5:21:40,ANCL,[WEP],2462
